N,num_goldbach_pairs,rho_min,rho_mean,rho_max
100,6,3.861833,4.514251,4.794314
102,8,6.07476,6.596405,6.790262
104,5,4.66956,5.27914,5.599
106,6,5.86431,6.457742,6.810925
108,8,3.60579,4.072841,4.339155
110,6,5.865829,6.471001,6.799543
112,7,4.103754,4.708661,5.060783
114,10,6.075289,6.562981,6.827108
116,6,5.284676,5.863755,6.221088
118,6,6.075397,6.561614,6.837656
120,12,5.05041,5.475053,5.683357
122,4,6.443787,6.668877,6.845722
124,5,5.805992,6.064973,6.265587
126,10,5.533748,5.792839,5.943109
128,3,3.147461,3.2921,3.427665
130,7,5.872202,6.606277,6.857267
132,9,5.507756,6.110867,6.29416
134,6,5.873281,6.552908,6.867832
136,5,4.946841,5.491751,5.722185
138,8,6.206021,6.667154,6.874249
140,7,5.313735,6.064205,6.316057
142,8,5.875284,6.555037,6.881079
144,11,3.517692,4.074573,4.326265
146,6,6.204865,6.689117,6.887316
148,5,5.819129,6.127681,6.318727
150,12,5.088564,5.444158,5.607364
152,4,4.773775,5.401198,5.791852
154,8,5.87796,6.562744,6.896682
156,11,5.526431,6.110291,6.35124
158,5,6.203177,6.655815,6.904677
160,8,3.693956,4.446661,4.717156
162,10,3.484124,4.075341,4.318547
164,5,5.658697,6.094294,6.355675
166,6,5.880313,6.626816,6.91526
168,13,4.9931,5.611079,5.834205
170,9,5.881036,6.589371,6.912449
172,6,5.536609,6.163532,6.383641
174,11,6.201027,6.704123,6.914985
176,7,4.27337,5.017082,5.314763
178,7,6.075129,6.658626,6.929871
180,14,4.820106,5.351204,5.549691
182,6,5.883051,6.635107,6.927699
184,8,4.820039,5.484434,5.86966
186,13,6.074973,6.67466,6.938165
188,5,5.669767,6.170615,6.40171
190,8,6.362858,6.739213,6.941653
192,11,3.725583,4.10822,4.306457
194,7,5.884861,6.634953,6.947356
196,9,3.885146,4.597743,4.946192
198,13,5.243738,5.874593,6.120283
200,8,3.624053,4.359682,4.69142
202,9,5.885972,6.589668,6.95537
204,14,5.553238,6.147177,6.435921
206,7,6.197093,6.740629,6.959214
208,7,4.80034,5.171684,5.402434
210,19,6.358249,6.782309,6.962822
212,6,5.898846,6.224147,6.44689
214,8,5.887513,6.687373,6.966604
216,13,3.407645,4.085523,4.301694
218,7,6.195739,6.744206,6.970158
220,9,6.093622,6.325672,6.457577
222,11,6.355669,6.780572,6.973504
224,7,4.364154,4.752086,4.919286
226,7,5.888924,6.723625,6.977006
228,12,5.563364,6.255452,6.463177
230,9,5.889369,6.64832,6.976279
232,7,4.871513,5.611554,5.957662
234,15,5.268355,5.928572,6.175306
236,9,5.382569,6.144642,6.475532
238,9,6.073794,6.750318,6.982942
240,18,4.67575,5.258837,5.469317
242,8,4.143194,4.895018,5.234162
244,9,5.386467,6.093619,6.484914
246,16,6.073605,6.726569,6.988025
248,6,5.186856,5.719399,5.983136
250,9,4.018224,4.448323,4.660449
252,16,5.053591,5.495537,5.697119
254,9,5.891802,6.728358,6.998584
256,8,2.573368,3.202766,3.490159
258,14,6.191649,6.784075,7.001315
260,10,5.39375,6.256716,6.494672
262,9,6.073226,6.724941,7.00416
264,16,5.196605,5.812251,6.010522
266,8,5.89289,6.780485,7.006133
268,9,5.577182,6.196647,6.512111
270,19,4.620647,5.229512,5.439308
272,7,4.409628,5.246388,5.51269
274,11,5.893574,6.629516,7.012106
276,16,5.579591,6.272963,6.520057
278,7,6.189819,6.82599,7.01465
280,14,4.909971,5.753295,6.030337
282,16,6.07276,6.75758,7.015357
284,8,5.403575,6.143454,6.523589
286,12,5.894545,6.684332,7.018969
288,17,3.338222,4.00655,4.285972
290,10,6.188781,6.785196,7.02139
292,8,5.854462,6.268978,6.516292
294,19,4.973058,5.447443,5.653223
296,8,4.920821,5.730065,6.049725
298,11,6.072396,6.782227,7.026666
300,21,4.57317,5.200764,5.413014
302,9,6.522961,6.887142,7.028938
304,10,4.886086,5.374725,5.571725
306,15,5.62891,6.094763,6.263153
308,8,6.193824,6.426241,6.548276
310,12,5.896312,6.768532,7.02863
312,17,5.10653,5.863812,6.068191
314,9,5.896587,6.69391,7.035519
316,10,5.415014,6.220757,6.553746
318,15,6.071952,6.778314,7.036759
320,11,3.493699,4.323294,4.635273
322,11,6.071865,6.76381,7.037792
324,20,3.42587,4.038324,4.280233
326,7,6.393289,6.817219,7.04177
328,10,5.380254,5.886432,6.082664
330,24,6.392635,6.874161,7.043735
332,6,6.038903,6.431641,6.564346
334,11,5.897884,6.769086,7.045768
336,19,4.641686,5.420267,5.616563
338,9,4.42309,5.094043,5.284053
340,13,5.422592,6.345257,6.572917
342,17,5.318295,6.091297,6.295744
344,10,5.235176,5.822798,6.100236
346,9,6.647733,6.947874,7.051529
348,16,5.860971,6.394184,6.578141
350,13,4.799861,5.684422,5.950779
352,10,4.007576,4.851666,5.162831
354,20,6.07119,6.807256,7.055049
356,9,5.427248,6.231628,6.581767
358,10,6.071109,6.80293,7.057028
360,22,4.494816,5.151992,5.36925
362,8,5.899517,6.760581,7.058806
364,14,5.60083,6.351802,6.588698
366,18,6.183072,6.825914,7.059545
368,8,5.101655,5.448229,5.646194
370,14,5.89995,6.791799,7.06193
372,18,5.602398,6.373679,6.594465
374,10,6.182545,6.853965,7.06364
376,11,4.965095,5.839958,6.128885
378,22,4.589824,5.370811,5.584176
380,13,5.715405,6.375755,6.598987
382,10,5.900573,6.809989,7.06732
384,19,3.275007,4.034615,4.272543
386,12,5.900775,6.723984,7.068951
388,9,5.605395,6.372309,6.604557
390,27,6.181526,6.866024,7.070524
392,11,3.66891,4.547792,4.839116
394,11,6.070401,6.823086,7.072147
396,21,4.982937,5.636289,5.874706
398,7,6.504215,6.864992,7.073712
400,14,3.4387,4.335228,4.605591
402,17,6.070251,6.821922,7.07443
404,11,5.439656,6.304962,6.61337
406,13,6.070176,6.830155,7.072094
408,20,5.257967,5.950859,6.15468
410,13,6.381118,6.872567,7.078001
412,11,5.441529,6.29289,6.61279
