N,p,q,type,rad_odd_pq,conductor_proxy,rho
8192,3,8189,Mixed,24567,603537489,2.243759
8192,4,8188,Composite,2047,4190209,1.692199
8192,5,8187,Mixed,40935,1675674225,2.357084
8192,6,8186,Composite,12279,150773841,2.089832
8192,7,8185,Mixed,57295,3282717025,2.431711
8192,8,8184,Composite,1023,1046529,1.538245
8192,9,8183,Composite,3507,12299049,1.811696
8192,10,8182,Composite,20455,418407025,2.203102
8192,11,8181,Mixed,3333,11108889,1.800401
8192,12,8180,Composite,6135,37638225,1.935823
8192,13,8179,Goldbach,106327,11305430929,2.568946
8192,14,8178,Composite,28623,819276129,2.277675
8192,15,8177,Composite,122655,15044249025,2.600653
8192,16,8176,Composite,511,261121,1.384181
8192,17,8175,Mixed,27795,772562025,2.27116
8192,18,8174,Composite,12261,150332121,2.089506
8192,19,8173,Mixed,155287,24114052369,2.653012
8192,20,8172,Composite,3405,11594025,1.805144
8192,21,8171,Mixed,171591,29443471281,2.675171
8192,22,8170,Composite,44935,2019154225,2.377777
8192,23,8169,Mixed,187887,35301524769,2.695309
8192,24,8168,Composite,3063,9381969,1.781651
8192,25,8167,Mixed,40835,1667497225,2.356541
8192,26,8166,Composite,53079,2817380241,2.414747
8192,27,8165,Composite,24495,600005025,2.243108
8192,28,8164,Composite,14287,204118369,2.123449
8192,29,8163,Mixed,78909,6226630281,2.502754
8192,30,8162,Composite,61215,3747276225,2.4464
8192,31,8161,Goldbach,252991,64004446081,2.761343
8192,32,8160,Composite,255,65025,1.229901
8192,33,8159,Composite,269247,72493947009,2.775165
8192,34,8158,Composite,69343,4808451649,2.474071
8192,35,8157,Composite,285495,81507395025,2.78817
8192,36,8156,Composite,6117,37417689,1.935171
8192,37,8155,Mixed,301735,91044010225,2.80045
8192,38,8154,Composite,8607,74080449,2.010968
8192,39,8153,Composite,317967,101103013089,2.81208
8192,40,8152,Composite,5095,25959025,1.894595
8192,41,8151,Mixed,334191,111683624481,2.823125
8192,42,8150,Composite,17115,292923225,2.163534
8192,43,8149,Mixed,350407,122785065649,2.833642
8192,44,8148,Composite,22407,502073649,2.223333
8192,45,8147,Mixed,122205,14934062025,2.599838
8192,46,8146,Composite,93679,8775755041,2.540837
8192,47,8145,Mixed,127605,16283036025,2.609435
8192,48,8144,Composite,1527,2331729,1.627151
8192,49,8143,Composite,57001,3249114001,2.430569
8192,50,8142,Composite,20355,414326025,2.202015
8192,51,8141,Composite,415191,172383566481,2.871295
8192,52,8140,Composite,26455,699867025,2.260193
8192,53,8139,Mixed,431367,186077488689,2.879778
8192,54,8138,Composite,12207,149010849,2.088526
8192,55,8137,Composite,447535,200287576225,2.887945
8192,56,8136,Composite,2373,5631129,1.724999
8192,57,8135,Composite,463695,215013053025,2.895818
8192,58,8134,Composite,16849,283888801,2.160058
8192,59,8133,Mixed,479847,230253143409,2.903418
8192,60,8132,Composite,30495,929945025,2.291736
8192,61,8131,Mixed,495991,246007072081,2.910762
8192,62,8130,Composite,126015,15879780225,2.606652
8192,63,8129,Composite,170709,29141562681,2.674028
8192,64,8128,Composite,127,16129,1.075182
8192,65,8127,Composite,58695,3445103025,2.437069
8192,66,8126,Composite,134079,17977178241,2.620419
8192,67,8125,Mixed,4355,18966025,1.859763
8192,68,8124,Composite,34527,1192113729,2.319298
8192,69,8123,Mixed,560487,314145677169,2.937896
8192,70,8122,Composite,142135,20202358225,2.63337
8192,71,8121,Mixed,576591,332457181281,2.944183
8192,72,8120,Composite,3045,9272025,1.780343
8192,73,8119,Mixed,592687,351277879969,2.950294
8192,74,8118,Composite,50061,2506103721,2.401754
8192,75,8117,Mixed,121755,14824280025,2.599019
8192,76,8116,Composite,38551,1486179601,2.343766
8192,77,8115,Composite,624855,390443771025,2.962025
8192,78,8114,Composite,158223,25034517729,2.657169
8192,79,8113,Mixed,640927,410787419329,2.967662
8192,80,8112,Composite,195,38025,1.170359
8192,81,8111,Mixed,24333,592094889,2.241635
8192,82,8110,Composite,166255,27640725025,2.66816
8192,83,8109,Mixed,224349,50332473801,2.734675
8192,84,8108,Composite,42567,1811949489,2.365761
8192,85,8107,Composite,62645,3924396025,2.451525
8192,86,8106,Composite,174279,30373169841,2.678621
8192,87,8105,Composite,705135,497215368225,2.988852
8192,88,8104,Composite,11143,124166449,2.068285
8192,89,8103,Mixed,721167,520081841889,2.993842
8192,90,8102,Composite,60765,3692385225,2.444762
8192,91,8101,Mixed,737191,543450570481,2.99872
8192,92,8100,Composite,345,119025,1.296993
8192,93,8099,Composite,753207,567320784849,3.00349
8192,94,8098,Composite,190303,36215231809,2.698144
8192,95,8097,Composite,769215,591691716225,3.008158
8192,96,8096,Composite,759,576081,1.471993
8192,97,8095,Mixed,785215,616562596225,3.012727
8192,98,8094,Composite,28329,802532241,2.275383
8192,99,8093,Mixed,267069,71325850761,2.773362
8192,100,8092,Composite,595,354025,1.417961
8192,101,8091,Mixed,272397,74200125609,2.777746
8192,102,8090,Composite,206295,42557627025,2.716054
8192,103,8089,Goldbach,833167,694167249889,3.025884
8192,104,8088,Composite,13143,172738449,2.104924
8192,105,8087,Mixed,849135,721030248225,3.030098
8192,106,8086,Composite,214279,45915489841,2.724482
8192,107,8085,Mixed,123585,15273252225,2.60233
8192,108,8084,Composite,6063,36759969,1.933202
8192,109,8083,Mixed,881047,776243816209,3.038286
8192,110,8082,Composite,74085,5488587225,2.488753
8192,111,8081,Mixed,896991,804592854081,3.042267
8192,112,8080,Composite,3535,12496225,1.813461
8192,113,8079,Mixed,912927,833435707329,3.046175
8192,114,8078,Composite,230223,53002629729,2.740411
8192,115,8077,Composite,928855,862771611025,3.050014
8192,116,8076,Composite,58551,3428219601,2.436524
8192,117,8075,Composite,62985,3967110225,2.452726
8192,118,8074,Composite,238183,56731141489,2.747956
8192,119,8073,Composite,106743,11394068049,2.569813
8192,120,8072,Composite,15135,229068225,2.136246
8192,121,8071,Composite,88781,7882065961,2.528917
8192,122,8070,Composite,246135,60582438225,2.755245
8192,123,8069,Mixed,992487,985030445169,3.064721
8192,124,8068,Composite,62527,3909625729,2.451106
8192,125,8067,Composite,40335,1626912225,2.353807
8192,126,8066,Composite,84693,7172904249,2.518455
8192,127,8065,Mixed,1024255,1049098305025,3.071714
8192,128,8064,Composite,21,441,0.675741
8192,129,8063,Composite,1040127,1081864176129,3.075127
8192,130,8062,Composite,262015,68651860225,2.769122
8192,131,8061,Mixed,1055991,1115116992081,3.078487
8192,132,8060,Composite,66495,4421585025,2.464763
8192,133,8059,Mixed,1071847,1148855991409,3.081795
8192,134,8058,Composite,269943,72869223249,2.775738
8192,135,8057,Composite,120855,14605931025,2.597372
8192,136,8056,Composite,17119,293060161,2.163586
8192,137,8055,Mixed,367845,135309944025,2.844421
8192,138,8054,Composite,277863,77207846769,2.782156
8192,139,8053,Goldbach,1119367,1252982480689,3.091423
8192,140,8052,Composite,70455,4963907025,2.477602
8192,141,8051,Composite,1135191,1288658606481,3.094539
8192,142,8050,Composite,57155,3266694025,2.431168
8192,143,8049,Composite,1151007,1324817114049,3.09761
8192,144,8048,Composite,1509,2277081,1.62452
8192,145,8047,Composite,1166815,1361457244225,3.100638
8192,146,8046,Composite,32631,1064782161,2.306762
8192,147,8045,Composite,168945,28542413025,2.671722
8192,148,8044,Composite,74407,5536401649,2.489715
8192,149,8043,Mixed,1198407,1436179337649,3.106567
8192,150,8042,Composite,60315,3637899225,2.443112
8192,151,8041,Mixed,1214191,1474259784481,3.109471
8192,152,8040,Composite,19095,364619025,2.187832
8192,153,8039,Mixed,409989,168090980121,2.868496
8192,154,8038,Composite,309463,95767348369,2.806063
8192,155,8037,Composite,415245,172428410025,2.871324
8192,156,8036,Composite,11193,125283249,2.069278
8192,157,8035,Mixed,1261495,1591369635025,3.117954
8192,158,8034,Composite,317343,100706579649,2.811644
8192,159,8033,Composite,1277247,1631359899009,3.120709
8192,160,8032,Composite,1255,1575025,1.583611
8192,161,8031,Composite,1292991,1671825726081,3.123428
8192,162,8030,Composite,12045,145082025,2.085561
8192,163,8029,Mixed,1308727,1712766360529,3.126113
8192,164,8028,Composite,27429,752350041,2.268218
8192,165,8027,Composite,1324455,1754181047025,3.128764
8192,166,8026,Composite,333079,110941620241,2.822385
8192,167,8025,Mixed,268035,71842761225,2.774163
8192,168,8024,Composite,21063,443649969,2.209604
8192,169,8023,Composite,104299,10878281401,2.564672
8192,170,8022,Composite,340935,116236674225,2.82756
8192,171,8021,Composite,457197,209029096809,2.892686
8192,172,8020,Composite,86215,7433026225,2.522408
8192,173,8019,Mixed,5709,32592681,1.91985
8192,174,8018,Composite,348783,121649581089,2.832611
8192,175,8017,Mixed,280595,78733554025,2.784328
8192,176,8016,Composite,5511,30371121,1.912015
8192,177,8015,Composite,1418655,2012582009025,3.144014
8192,178,8014,Composite,356623,127179964129,2.837545
8192,179,8013,Mixed,1434327,2057293942929,3.146453
8192,180,8012,Composite,30045,902702025,2.288437
8192,181,8011,Goldbach,1449991,2102473900081,3.148863
8192,182,8010,Composite,121485,14758605225,2.598526
8192,183,8009,Mixed,1465647,2148121128609,3.151247
8192,184,8008,Composite,23023,530058529,2.229352
8192,185,8007,Composite,1481295,2194234877025,3.153604
8192,186,8006,Composite,372279,138591653841,2.847081
8192,187,8005,Composite,1496935,2240814394225,3.155935
8192,188,8004,Composite,94047,8844838209,2.541707
8192,189,8003,Composite,168063,28245171969,2.67056
8192,190,8002,Composite,380095,144472209025,2.851692
8192,191,8001,Mixed,509397,259485303609,2.916682
8192,192,8000,Composite,15,225,0.60106
8192,193,7999,Mixed,1543807,2383340053249,3.162779
8192,194,7998,Composite,387903,150468737409,2.856206
8192,195,7997,Composite,1559415,2431775142225,3.165011
8192,196,7996,Composite,13993,195804049,2.118833
8192,197,7995,Mixed,1575015,2480672250225,3.167221
8192,198,7994,Composite,131901,17397873801,2.616784
8192,199,7993,Goldbach,1590607,2530030628449,3.169407
8192,200,7992,Composite,555,308025,1.402514
8192,201,7991,Composite,1606191,2579849528481,3.171571
8192,202,7990,Composite,403495,162808215025,2.864953
8192,203,7989,Composite,1621767,2630128202289,3.173713
8192,204,7988,Composite,101847,10372811409,2.559391
8192,205,7987,Composite,233905,54711549025,2.743933
8192,206,7986,Composite,3399,11553201,1.804753
8192,207,7985,Composite,550965,303562431225,2.934092
8192,208,7984,Composite,6487,42081169,1.948205
8192,209,7983,Composite,556149,309301710201,2.936171
8192,210,7982,Composite,419055,175607093025,2.873351
8192,211,7981,Mixed,1683991,2835825688081,3.18207
8192,212,7980,Composite,105735,11179890225,2.567707
8192,213,7979,Composite,1699527,2888392023729,3.184108
8192,214,7978,Composite,426823,182177873329,2.877427
8192,215,7977,Composite,1715055,2941413653025,3.186127
8192,216,7976,Composite,2991,8946081,1.776371
8192,217,7975,Composite,346115,119795593225,2.830906
8192,218,7974,Composite,144861,20984709321,2.637586
8192,219,7973,Composite,1746087,3048819811569,3.190107
8192,220,7972,Composite,109615,12015448225,2.575705
8192,221,7971,Composite,1761591,3103202851281,3.192069
8192,222,7970,Composite,442335,195660252225,2.885351
8192,223,7969,Mixed,1777087,3158038205569,3.194013
8192,224,7968,Composite,1743,3038049,1.656516
8192,225,7967,Composite,119505,14281445025,2.594879
8192,226,7966,Composite,450079,202571106241,2.889203
8192,227,7965,Mixed,200895,40358801025,2.710166
8192,228,7964,Composite,113487,12879299169,2.58341
8192,229,7963,Goldbach,1823527,3325250719729,3.199738
8192,230,7962,Composite,457815,209594574225,2.892985
8192,231,7961,Composite,1838991,3381887898081,3.201613
8192,232,7960,Composite,28855,832611025,2.279467
8192,233,7959,Mixed,1854447,3438973675809,3.20347
8192,234,7958,Composite,155181,24081142761,2.65286
8192,235,7957,Composite,1869895,3496507311025,3.205312
8192,236,7956,Composite,39117,1530139689,2.347001
8192,237,7955,Composite,1885335,3554488062225,3.207137
8192,238,7954,Composite,473263,223977867169,2.900351
8192,239,7953,Mixed,1900767,3612915188289,3.208946
8192,240,7952,Composite,7455,55577025,1.979076
8192,241,7951,Goldbach,1916191,3671787948481,3.21074
8192,242,7950,Composite,8745,76475025,2.014499
8192,243,7949,Mixed,23847,568679409,2.237157
8192,244,7948,Composite,121207,14691136849,2.598017
8192,245,7947,Composite,92715,8596071225,2.538541
8192,246,7946,Composite,488679,238807165041,2.907466
8192,247,7945,Composite,1962415,3851072632225,3.216031
8192,248,7944,Composite,30783,947593089,2.293822
8192,249,7943,Composite,152139,23146275321,2.648466
8192,250,7942,Composite,1045,1092025,1.542967
8192,251,7941,Mixed,1993191,3972810362481,3.219484
8192,252,7940,Composite,41685,1737639225,2.361114
8192,253,7939,Composite,2008567,4034341393489,3.22119
8192,254,7938,Composite,2667,7112889,1.750923
8192,255,7937,Mixed,2023935,4096312884225,3.222882
8192,256,7936,Composite,31,961,0.762184
8192,257,7935,Mixed,88665,7861482225,2.528627
8192,258,7934,Composite,511743,261880898049,2.917702
8192,259,7933,Mixed,2054647,4221574294609,3.226224
8192,260,7932,Composite,128895,16613921025,2.611667
8192,261,7931,Composite,689997,476095860009,2.984035
8192,262,7930,Composite,519415,269791942225,2.921004
8192,263,7929,Mixed,695109,483176521881,2.985674
8192,264,7928,Composite,32703,1069486209,2.307252
8192,265,7927,Mixed,2100655,4412751429025,3.23114
8192,266,7926,Composite,527079,277812272241,2.924255
8192,267,7925,Composite,423195,179094008025,2.875533
8192,268,7924,Composite,132727,17616456529,2.61817
8192,269,7923,Mixed,2131287,4542384276369,3.234353
8192,270,7922,Composite,59415,3530142225,2.439775
8192,271,7921,Mixed,24119,581726161,2.239674
8192,272,7920,Composite,2805,7868025,1.762121
8192,273,7919,Mixed,2161887,4673755400769,3.237517
8192,274,7918,Composite,542383,294179318689,2.930608
8192,275,7917,Composite,435435,189603639225,2.881861
8192,276,7916,Composite,136551,18646175601,2.624474
8192,277,7915,Mixed,2192455,4806858927025,3.240633
8192,278,7914,Composite,550023,302525300529,2.933713
8192,279,7913,Composite,735909,541562056281,2.998334
8192,280,7912,Composite,34615,1198198225,2.319863
8192,281,7911,Mixed,246999,61008506001,2.756022
8192,282,7910,Composite,557655,310979099025,2.936771
8192,283,7909,Mixed,2238247,5009749633009,3.245221
8192,284,7908,Composite,140367,19702894689,2.630591
8192,285,7907,Mixed,2253495,5078239715025,3.246728
8192,286,7906,Composite,565279,319540347841,2.939785
8192,287,7905,Composite,2268735,5147158500225,3.248224
8192,288,7904,Composite,741,549081,1.466666
8192,289,7903,Composite,134351,18050191201,2.620869
8192,290,7902,Composite,190965,36467631225,2.698915
8192,291,7901,Mixed,2299191,5286279254481,3.251184
8192,292,7900,Composite,28835,831457225,2.279313
8192,293,7899,Mixed,2314407,5356479761649,3.252648
8192,294,7898,Composite,82929,6877219041,2.513783
8192,295,7897,Composite,2329615,5427106048225,3.254102
8192,296,7896,Composite,36519,1333637361,2.331748
8192,297,7895,Composite,260535,67878486225,2.767864
8192,298,7894,Composite,588103,345865138609,2.948571
8192,299,7893,Composite,786669,618848115561,3.013138
8192,300,7892,Composite,29595,875864025,2.285087
8192,301,7891,Composite,2375191,5641532286481,3.258402
8192,302,7890,Composite,595695,354852533025,2.951418
8192,303,7889,Composite,48783,2379781089,2.396014
8192,304,7888,Composite,9367,87740689,2.029749
8192,305,7887,Composite,2405535,5786598636225,3.261219
8192,306,7886,Composite,201093,40438394649,2.710385
8192,307,7885,Mixed,2420695,5859764283025,3.262614
8192,308,7884,Composite,16863,284360769,2.160242
8192,309,7883,Mixed,2435847,5933350607409,3.263999
8192,310,7882,Composite,610855,373143831025,2.956995
8192,311,7881,Mixed,2450991,6007356882081,3.265374
8192,312,7880,Composite,38415,1475712225,2.342982
8192,313,7879,Goldbach,2466127,6081782380129,3.266741
8192,314,7878,Composite,618423,382447006929,2.959728
8192,315,7877,Mixed,827085,684069597225,3.024258
8192,316,7876,Composite,155551,24196113601,2.653389
8192,317,7875,Mixed,33285,1107891225,2.311167
8192,318,7874,Composite,625983,391854716289,2.962425
8192,319,7873,Mixed,2511487,6307566951169,3.270786
8192,320,7872,Composite,615,378225,1.425299
8192,321,7871,Composite,2526591,6383662081281,3.272117
8192,322,7870,Composite,633535,401366596225,2.965087
8192,323,7869,Composite,2541687,6460172805969,3.273439
8192,324,7868,Composite,5901,34821801,1.927191
8192,325,7867,Mixed,511355,261483936025,2.917533
8192,326,7866,Composite,213693,45664698249,2.723874
8192,327,7865,Composite,233805,54664778025,2.743838
8192,328,7864,Composite,40303,1624331809,2.353631
8192,329,7863,Composite,2586927,6692191303329,3.277355
8192,330,7862,Composite,648615,420701418225,2.970308
8192,331,7861,Mixed,2601991,6770357164081,3.278644
8192,332,7860,Composite,163095,26599979025,2.6639
8192,333,7859,Composite,872349,760992777801,3.036084
8192,334,7858,Composite,656143,430523636449,2.972869
8192,335,7857,Composite,97485,9503325225,2.549676
8192,336,7856,Composite,10311,106316721,2.051061
8192,337,7855,Mixed,2647135,7007323708225,3.282462
8192,338,7854,Composite,51051,2606204601,2.4061
8192,339,7853,Mixed,2662167,7087133135889,3.283718
8192,340,7852,Composite,166855,27840591025,2.668959
8192,341,7851,Composite,2677191,7167351650481,3.284967
8192,342,7850,Composite,44745,2002115025,2.376837
8192,343,7849,Composite,54943,3018733249,2.422407
8192,344,7848,Composite,14061,197711721,2.119909
8192,345,7847,Composite,2707215,7329013056225,3.287443
8192,346,7846,Composite,678679,460605185041,2.980365
8192,347,7845,Mixed,2722215,7410454506225,3.288669
8192,348,7844,Composite,170607,29106748449,2.673895
8192,349,7843,Mixed,2737207,7492302160849,3.289888
8192,350,7842,Composite,137235,18833445225,2.625583
8192,351,7841,Mixed,305799,93513028401,2.803419
8192,352,7840,Composite,385,148225,1.321341
8192,353,7839,Mixed,922389,850801467321,3.048464
8192,354,7838,Composite,693663,481168357569,2.985212
8192,355,7837,Composite,2782135,7740275158225,3.293502
8192,356,7836,Composite,174351,30398271201,2.678713
8192,357,7835,Composite,2797095,7823740439025,3.294692
8192,358,7834,Composite,701143,491601506449,2.987592
8192,359,7833,Mixed,2812047,7907608330209,3.295875
8192,360,7832,Composite,14685,215649225,2.129547
8192,361,7831,Composite,148789,22138166521,2.643524
8192,362,7830,Composite,78735,6199200225,2.502264
8192,363,7829,Mixed,258357,66748339449,2.766001
8192,364,7828,Composite,178087,31714979569,2.683419
